Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT50200nao_sum,LT50nao_sum
2004,Alameda County,Alameda BART,101,0,0,96,5,1252,4,304,944,16,0,0,12,4,51,0,5,46,0,1,0,1,0,0,0,13,5,7,71,0,0,0,0,0,0,96,0,3,2,0,2,2,0,0,0,0,4,1,0,3,264,38,2,3,25,0,439,108,188,0,1,180,176,137,541,90
2004,Alameda County,UC Lawrence-Livermore,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,2,2,0
2004,Alameda County,Dublin,83,0,8,14,61,806,136,142,528,17,0,0,0,17,58,10,2,46,1,0,2,3,1,6,2,2,1,2,9,0,0,0,0,1,2,11,0,6,11,44,82,54,49,9,21,19,87,48,18,21,120,7,15,4,2,125,222,10,19,78,11,57,228,90,117,93
2004,Alameda County,Alameda E. Bay Mun. Util. Dist.,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3,7,6,7,12
2004,Alameda County,UC Berkeley,25,0,3,6,16,975,91,31,853,14,0,1,1,12,41,4,2,35,4,0,1,5,0,3,0,0,1,0,5,0,0,0,0,0,0,6,0,0,9,7,47,44,4,1,0,3,87,39,16,32,19,2,10,3,0,5,82,2,224,454,5,78,191,185,249,228
2004,Alameda County,CA Highway Patrol - Alameda,1,0,0,0,1,289,0,259,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,232,16,11,0,0,0,5,19,0,1,0,5,2,1,12,15
2004,Alpine County,Alpine Co. Sheriff's Department,11,0,3,0,8,82,25,0,57,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,12,13,13,3,6,4,12,1,9,2,0,0,0,0,0,2,4,1,2,3,0,45,24,22,2,9
2004,Alpine County,CA Highway Patrol - Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Amador County,Amador Co. Sheriff's Department,45,2,7,3,33,599,229,5,365,19,1,0,2,16,94,36,2,56,0,0,0,0,0,7,0,1,0,0,2,0,0,0,1,1,0,1,2,3,18,10,99,130,106,27,77,2,123,49,71,3,3,1,1,2,2,5,89,5,6,63,12,181,126,39,82,118
2004,Amador County,Ione,15,0,3,0,12,87,26,8,53,11,0,1,0,10,16,5,2,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,13,13,15,4,8,3,11,5,3,3,6,2,0,1,0,3,25,1,5,5,0,13,17,6,12,18
2004,Amador County,Jackson,49,0,7,2,40,270,76,27,167,14,0,1,2,11,34,7,16,11,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,2,0,1,7,32,26,50,27,8,16,3,49,17,21,11,18,6,3,0,0,4,74,3,2,23,2,59,28,26,28,85
2004,Amador County,Sutter Creek,12,0,2,2,8,111,31,9,71,9,0,1,2,6,30,6,7,17,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3,5,17,14,14,1,6,7,17,7,6,4,3,1,5,0,0,1,34,2,0,11,4,19,10,6,6,49
2004,Amador County,Union Pacific RR - Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Amador County,CA Highway Patrol - Amador,0,0,0,0,0,81,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,17,0,0,0,0,1,0,0,0,0,0,0,0,1
2004,Butte County,Butte Co. Sheriff's Department,156,2,12,21,121,1955,867,30,1058,54,1,4,4,45,44,21,6,17,16,38,66,120,6,10,2,8,1,5,7,5,3,1,1,9,0,2,27,40,41,13,420,447,715,177,538,0,152,36,116,0,16,1,13,8,14,10,432,41,38,67,3,445,297,116,133,512
2004,Butte County,Biggs,11,0,2,0,9,74,25,10,39,6,0,0,0,6,7,2,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,12,13,11,2,2,7,14,9,1,4,7,3,0,0,1,1,12,0,7,6,1,11,8,7,13,11
2004,Butte County,Chico,251,3,50,71,127,2788,717,539,1532,106,3,11,25,67,494,93,51,350,9,6,61,76,7,48,2,17,8,8,38,24,11,3,0,18,3,12,6,18,50,53,341,376,461,105,115,241,256,66,51,139,354,142,43,1,0,275,462,282,101,27,4,380,362,248,333,589
2004,Butte County,Gridley,69,1,2,2,64,360,131,27,202,45,0,1,1,43,45,7,4,34,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,4,6,6,48,77,54,88,38,41,9,43,19,22,2,11,7,9,1,1,2,60,2,24,46,7,59,39,41,69,53
2004,Butte County,Oroville,201,0,15,22,164,1106,358,175,573,144,0,6,13,125,334,93,11,230,2,0,0,2,0,13,2,4,2,6,10,1,0,1,1,6,0,13,10,8,65,81,178,180,149,72,39,38,209,101,82,26,127,36,12,3,7,198,201,16,5,33,3,107,194,64,88,227
2004,Butte County,Paradise,52,0,7,11,34,1035,319,72,644,39,0,2,4,33,112,34,10,68,2,0,2,4,3,6,1,1,2,6,2,1,2,0,0,3,1,4,0,2,8,24,179,140,136,7,14,115,183,19,20,144,42,11,19,0,0,40,154,69,20,182,15,164,153,69,225,197
2004,Butte County,Union Pacific RR - Butte,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,3,0
2004,Butte County,Northern Buttes DPR,0,0,0,0,0,26,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,3,0,0,0,2,5,3,4,11
2004,Butte County,CSU Chico,11,0,4,2,5,283,33,21,229,0,0,0,0,0,10,2,0,8,1,0,0,1,0,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2,3,12,21,2,0,0,2,31,16,2,13,19,0,2,0,0,3,44,12,88,36,2,44,54,56,71,48
2004,Butte County,CA Highway Patrol - Butte,1,0,0,0,1,632,1,543,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,281,178,84,0,0,0,0,87,0,1,0,0,1,0,0,87
2004,Calaveras County,Calaveras Co. Sheriff's Department,104,3,9,9,83,748,294,5,449,50,3,1,1,45,49,16,3,30,4,0,0,4,2,8,1,1,2,0,6,1,2,0,1,5,0,0,16,5,30,32,174,120,224,33,44,147,70,25,9,36,3,0,2,2,1,20,112,2,5,0,2,305,143,51,65,190
2004,Calaveras County,Angels Camp,21,0,2,1,18,110,38,11,61,19,0,2,0,17,59,17,6,36,2,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,4,0,10,4,15,23,17,4,8,5,21,11,1,9,11,0,0,0,1,5,21,0,5,8,0,21,18,10,8,25
2004,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Calaveras County,Calaveras DPR,2,0,0,0,2,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,6,2,2,2,0,0,0,0,0,0,2,0,0,0,1,2,2,1,1,1
2004,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,0,133,0,115,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,19,0,0,0,0,18,0,0,0,0,0,0,0,18
2004,Colusa County,Colusa Co. Sheriff's Department,20,0,1,0,19,297,135,11,151,17,0,0,0,17,29,23,1,5,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,7,103,32,53,20,24,9,82,25,50,7,2,0,9,0,0,1,39,7,3,20,0,81,59,18,40,34
2004,Colusa County,Colusa,18,0,0,3,15,170,56,12,102,10,0,0,2,8,28,13,3,12,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,2,3,4,8,0,18,38,28,11,11,6,28,10,15,3,6,5,1,0,0,0,38,0,20,20,0,24,20,16,35,31
2004,Colusa County,Williams,21,0,1,2,18,77,16,4,57,16,0,0,2,14,13,4,1,8,0,0,2,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,2,3,12,1,9,7,6,3,3,0,10,3,5,2,4,0,0,0,0,3,17,20,3,6,0,8,10,9,18,20
2004,Colusa County,Union Pacific RR - Colusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Colusa County,CA Highway Patrol - Colusa,0,0,0,0,0,32,0,28,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,3,0,0,0,0,3,0,0,0,1,1,0,0,3
2004,Contra Costa County,Contra Costa Co. Sheriff's Department,500,11,35,128,326,3630,850,21,2759,298,5,21,45,227,237,80,6,151,10,3,4,17,5,34,1,73,1,3,51,71,15,13,4,14,5,6,46,26,152,102,472,378,542,45,152,345,308,27,28,253,9,4,8,5,4,72,1642,242,36,280,18,460,981,552,621,605
2004,Contra Costa County,Antioch,527,6,31,175,315,3106,715,1045,1346,294,3,9,53,229,646,66,183,397,11,15,14,40,9,29,2,52,8,6,109,51,30,6,5,21,9,53,38,37,88,152,341,374,448,158,254,36,267,110,134,23,917,81,47,9,4,339,521,64,24,102,10,273,468,169,262,447
2004,Contra Costa County,Brentwood,87,4,9,16,58,1130,191,160,779,55,3,5,3,44,139,12,6,121,1,2,4,7,2,5,4,3,0,0,13,8,4,0,3,0,0,1,5,8,31,14,63,128,133,55,78,0,58,21,37,0,118,24,18,0,2,129,224,131,18,30,11,234,296,115,136,232
2004,Contra Costa County,Clayton,3,0,0,1,2,258,24,24,210,1,0,0,1,0,18,0,4,14,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,3,21,18,5,7,6,6,5,0,1,17,3,4,0,1,15,151,4,3,22,2,12,90,32,35,53
2004,Contra Costa County,Concord,393,5,28,129,231,5980,992,1224,3764,328,5,82,66,175,1349,116,167,1066,7,8,0,15,4,28,0,39,13,4,73,69,20,5,5,11,8,11,14,37,164,16,582,410,475,178,296,1,517,290,222,5,912,227,85,0,0,1617,888,478,244,323,0,214,657,1253,997,857
2004,Contra Costa County,El Cerrito,145,0,1,97,47,1503,273,283,947,54,0,0,29,25,254,55,12,187,3,2,0,5,1,1,0,43,5,4,45,51,21,4,3,5,3,10,2,2,19,24,163,110,151,26,89,36,122,42,69,11,254,25,4,2,9,247,435,68,27,53,1,105,174,134,265,374
2004,Contra Costa County,Hercules,38,1,0,7,30,717,195,172,350,12,1,0,2,9,46,18,11,17,4,1,0,5,1,0,0,2,0,1,4,0,2,1,1,0,0,3,0,1,3,26,154,41,153,61,72,20,42,18,11,13,172,0,0,1,0,19,207,20,0,35,0,68,176,45,54,75
2004,Contra Costa County,Pinole,118,0,3,55,60,1347,217,303,827,16,0,1,7,8,162,6,4,152,2,3,4,9,0,3,0,31,0,2,22,24,13,3,1,4,5,5,3,9,20,28,174,43,119,22,60,37,98,66,19,13,294,1,8,2,6,294,300,43,9,86,20,67,181,135,266,245
2004,Contra Costa County,Pittsburg,272,8,11,84,169,2377,374,534,1469,132,7,6,24,95,261,28,21,212,2,1,0,3,1,9,2,39,3,1,41,63,8,1,6,3,0,3,38,41,48,42,365,9,255,43,142,70,119,37,20,62,373,147,14,2,7,217,704,255,30,139,5,110,451,292,479,247
2004,Contra Costa County,Pleasant Hill,136,1,7,35,93,1962,355,237,1370,65,0,3,7,55,199,43,20,136,3,2,3,8,3,7,0,10,6,4,15,4,16,0,2,3,1,9,1,4,20,68,187,168,158,73,85,0,197,106,91,0,217,12,8,0,6,157,656,52,50,159,17,273,169,133,368,700
2004,Contra Costa County,Richmond,1080,35,36,500,509,6180,1038,2377,2765,213,7,12,65,129,511,40,105,366,19,26,3,48,2,30,6,228,17,22,233,361,51,12,8,44,12,12,229,69,169,42,949,89,745,163,347,235,293,108,45,140,2215,119,43,9,8,407,1080,477,23,504,4,253,586,279,324,1576
2004,Contra Costa County,San Pablo,218,3,6,83,126,1785,288,652,845,71,4,2,18,47,188,37,27,124,3,7,0,10,2,6,0,33,2,8,40,30,1,6,1,7,2,36,26,17,43,40,242,46,169,43,112,14,119,53,56,10,648,3,1,1,8,110,465,18,21,103,1,118,213,104,132,396
2004,Contra Costa County,Walnut Creek,115,1,4,33,77,3137,520,285,2332,64,0,2,7,55,261,59,15,187,4,1,1,6,0,4,0,8,1,5,19,13,3,1,0,4,4,8,3,17,23,34,254,266,162,28,51,83,358,89,103,166,217,8,60,15,21,215,1290,107,69,245,26,344,689,378,549,716
